x,y,z,yaw,velocity,change_flag
74.4892,537.2698,-1.5179,3.1383,10.0000,0
69.4892,537.2860,-1.5122,3.1383,10.0000,0
64.4892,537.3023,-1.5065,3.1383,10.0000,0
59.4893,537.3185,-1.5008,3.1383,10.0000,0
54.4893,537.3347,-1.4951,3.1383,10.0000,0
49.4893,537.3509,-1.4895,3.1383,10.0000,0
45.9921,537.3623,-1.4855,3.1330,10.0000,0
40.9924,537.4051,-1.5213,3.1330,10.0000,0
35.9927,537.4480,-1.5571,3.1330,10.0000,0
30.9930,537.4908,-1.5929,3.1330,10.0000,0
25.9933,537.5337,-1.6287,3.1330,10.0000,0
20.9936,537.5765,-1.6646,3.1330,10.0000,0
15.9939,537.6193,-1.7004,3.1330,10.0000,0
15.0661,537.6273,-1.7070,-2.8789,10.0000,0
10.2376,536.3289,-1.7091,-2.8789,10.0000,0
7.7021,535.6471,-1.7101,-1.5071,10.0000,0
8.0205,530.6573,-1.6752,-1.5071,10.0000,0
8.3389,525.6676,-1.6403,-1.5071,10.0000,0
8.6572,520.6779,-1.6054,-1.5071,10.0000,0
8.6962,520.0676,-1.6012,-1.4384,10.0000,0
9.3565,515.1114,-1.5932,-1.4384,10.0000,0
10.0168,510.1552,-1.5852,-1.4384,10.0000,0
10.6771,505.1990,-1.5773,-1.4384,10.0000,0
11.3373,500.2428,-1.5693,-1.4384,10.0000,0
11.9976,495.2866,-1.5613,-1.4384,10.0000,0
12.6579,490.3304,-1.5534,-1.4384,10.0000,0
13.3182,485.3742,-1.5454,-1.4384,10.0000,0
13.9785,480.4180,-1.5374,-1.4384,10.0000,0
14.2738,478.2019,-1.5339,-1.4314,10.0000,0
14.9683,473.2503,-1.5262,-1.4314,10.0000,0
15.6628,468.2988,-1.5184,-1.4314,10.0000,0
16.3573,463.3473,-1.5107,-1.4314,10.0000,0
17.0518,458.3958,-1.5030,-1.4314,10.0000,0
17.7464,453.4443,-1.4953,-1.4314,10.0000,0
18.4409,448.4927,-1.4876,-1.4314,10.0000,0
18.9805,444.6459,-1.4816,-1.4398,10.0000,0
19.6336,439.6889,-1.4430,-1.4398,10.0000,0
20.2867,434.7319,-1.4044,-1.4398,10.0000,0
20.4701,433.3401,-1.3936,-1.0294,10.0000,0
23.0467,429.0553,-1.4360,-1.0294,10.0000,0
25.6233,424.7705,-1.4783,-1.0294,10.0000,0
28.1998,420.4857,-1.5207,-1.0294,10.0000,0
30.3780,416.8635,-1.5566,-0.9172,10.0000,0
33.4181,412.8939,-1.5524,-0.9172,10.0000,0
36.4582,408.9243,-1.5482,-0.9172,10.0000,0
39.4983,404.9547,-1.5440,-0.9172,10.0000,0
42.1281,401.5209,-1.5404,-0.8169,10.0000,0
45.5503,397.8757,-1.5744,-0.8169,10.0000,0
48.9725,394.2305,-1.6085,-0.8169,10.0000,0
49.9022,393.2403,-1.6177,-0.4970,10.0000,0
54.2973,390.8564,-1.6271,-0.4970,10.0000,0
58.6924,388.4725,-1.6365,-0.4970,10.0000,0
59.1524,388.2230,-1.6375,0.0015,10.0000,0
64.1523,388.2304,-1.6128,0.0015,10.0000,0
69.1522,388.2377,-1.5881,0.0015,10.0000,0
74.1522,388.2451,-1.5633,0.0015,10.0000,0
79.1521,388.2524,-1.5386,0.0015,10.0000,0
84.1520,388.2598,-1.5138,0.0015,10.0000,0
89.1520,388.2671,-1.4891,0.0015,10.0000,0
94.1519,388.2745,-1.4644,0.0015,10.0000,0
97.4174,388.2793,-1.4482,-0.0243,10.0000,0
102.4146,388.1578,-1.3329,-0.0243,10.0000,0
107.4118,388.0364,-1.2176,-0.0243,10.0000,0
112.4090,387.9149,-1.1023,-0.0243,10.0000,0
117.4062,387.7935,-0.9870,-0.0243,10.0000,0
122.4034,387.6720,-0.8717,-0.0243,10.0000,0
127.4006,387.5506,-0.7564,-0.0243,10.0000,0
132.3978,387.4291,-0.6411,-0.0243,10.0000,0
137.3950,387.3077,-0.5258,-0.0243,10.0000,0
142.3922,387.1862,-0.4104,-0.0243,10.0000,0
143.8287,387.1513,-0.3773,-0.0328,10.0000,0
148.8258,386.9876,-0.3312,-0.0328,10.0000,0
153.8229,386.8238,-0.2851,-0.0328,10.0000,0
158.8200,386.6601,-0.2390,-0.0328,10.0000,0
163.8171,386.4963,-0.1929,-0.0328,10.0000,0
168.8142,386.3326,-0.1468,-0.0328,10.0000,0
171.8576,386.2329,-0.1187,-0.6193,10.0000,0
175.9290,383.3305,-0.1048,-0.6193,10.0000,0
177.3740,382.3004,-0.0999,-0.9142,10.0000,0
180.4257,378.3405,-0.0249,-0.9142,10.0000,0
182.4196,375.7533,0.0240,-1.5905,10.0000,0
182.3211,370.7543,0.0359,-1.5905,10.0000,0
182.2804,368.6866,0.0408,-1.5543,10.0000,0
182.3626,363.6875,0.0821,-1.5543,10.0000,0
182.4448,358.6883,0.1234,-1.5543,10.0000,0
182.5271,353.6892,0.1646,-1.5543,10.0000,0
182.6093,348.6900,0.2059,-1.5543,10.0000,0
182.6795,344.4212,0.2411,-1.5858,10.0000,0
182.6045,339.4217,0.2479,-1.5858,10.0000,0
182.5294,334.4223,0.2547,-1.5858,10.0000,0
182.4544,329.4229,0.2615,-1.5858,10.0000,0
182.3794,324.4234,0.2683,-1.5858,10.0000,0
182.3043,319.4240,0.2751,-1.5858,10.0000,0
182.2293,314.4246,0.2819,-1.5858,10.0000,0
182.1543,309.4251,0.2887,-1.5858,10.0000,0
182.1118,306.5969,0.2926,-1.5878,10.0000,0
182.0270,301.5976,0.2997,-1.5878,10.0000,0
181.9421,296.5983,0.3068,-1.5878,10.0000,0
181.8572,291.5991,0.3139,-1.5878,10.0000,0
181.7723,286.5998,0.3211,-1.5878,10.0000,0
181.6875,281.6005,0.3282,-1.5878,10.0000,0
181.6026,276.6012,0.3353,-1.5878,10.0000,0
181.5395,272.8878,0.3406,-1.7069,10.0000,0
180.8611,267.9341,0.3609,-1.7069,10.0000,0
180.6823,266.6284,0.3663,-2.3951,10.0000,0
177.0118,263.2333,0.3832,-2.3951,10.0000,0
174.9275,261.3054,0.3929,-2.6098,10.0000,0
170.6181,258.7701,0.4281,-2.6098,10.0000,0
166.3087,256.2348,0.4633,-2.6098,10.0000,0
165.6864,255.8687,0.4684,-2.6101,10.0000,0
161.3761,253.3346,0.4828,-2.6101,10.0000,0
157.0659,250.8006,0.4972,-2.6101,10.0000,0
152.7556,248.2665,0.5115,-2.6101,10.0000,0
148.4453,245.7325,0.5259,-2.6101,10.0000,0
147.9074,245.4162,0.5277,-2.6454,10.0000,0
143.5108,243.0358,0.5854,-2.6454,10.0000,0
139.1141,240.6555,0.6431,-2.6454,10.0000,0
138.3048,240.2173,0.6537,-2.3551,10.0000,0
134.7733,236.6778,0.6293,-2.3551,10.0000,0
134.1942,236.0975,0.6253,-1.9982,10.0000,0
132.1217,231.5475,0.5698,-1.9982,10.0000,0
130.0492,226.9976,0.5143,-1.9982,10.0000,0
127.9768,222.4477,0.4588,-1.9982,10.0000,0
126.5071,219.2213,0.4194,-2.0112,10.0000,0
124.3757,214.6983,0.4098,-2.0112,10.0000,0
122.2442,210.1754,0.4002,-2.0112,10.0000,0
120.1128,205.6525,0.3905,-2.0112,10.0000,0
117.9814,201.1295,0.3809,-2.0112,10.0000,0
115.8499,196.6066,0.3713,-2.0112,10.0000,0
115.2638,195.3629,0.3686,-1.9824,10.0000,0
113.2634,190.7805,0.3748,-1.9824,10.0000,0
111.2629,186.1981,0.3809,-1.9824,10.0000,0
